,title_iphone,concat_ori_prices,discount_prices,combined_sold_count,nama_toko
113,Kajsa Ninja Collection iPhone X Pocket Back Case - Green,0,169.000,1 Terjual,ibox_official
114,Kajsa Ninja Collection iPhone X Pocket Back Case - Blue,0,169.000,1 Terjual,ibox_official
115,UNIQ Glacier Frost Xtreme iPhone X - Silver,0,329.000,17 Terjual,ibox_official
116,"Apple iPhone 14 Silicone Case with MagSafe, Chalk Pink",0,899.000,2 Terjual,ibox_official
117,Kajsa Lance Collection iPhone X Back Case - Olive,0,169.000,,ibox_official
118,"Apple iPhone 14 Plus Leather Case with MagSafe, Umber",0,1.199.000,,ibox_official
119,SwitchEasy Glass iPhone X - Black,0,449.000,,ibox_official
120,SwitchEasy Glass iPhone X - Black,Rp1.349.000,449.000,3 Terjual,ibox_official
121,CaseStudi iPhone X Case - Kind of Blue,Rp999.000,420.000,2 Terjual,ibox_official
122,"Apple iPhone 14 Leather Case with MagSafe, Umber",Rp999.000,1.199.000,4 Terjual,ibox_official
123,UNIQ Clouteigo iPhone X - Blue,Rp1.099.000,379.000,2 Terjual,ibox_official
124,"Apple iPhone 14 Silicone Case with MagSafe, Sunglow",Rp999.000,899.000,3 Terjual,ibox_official
125,"Apple iPhone 14 Plus Silicone Case with MagSafe, Midnight",Rp1.299.000,899.000,1 Terjual,ibox_official
126,Kajsa Ninja Collection iPhone X Pocket Back Case - Black,Rp1.349.000,169.000,2 Terjual,ibox_official
127,"Apple iPhone 13 mini Silicone Case with MagSafe, Blue Jay",Rp1.349.000,899.000,7 Terjual,ibox_official
128,"Apple iPhone 14 Plus Silicone Case with MagSafe, Chalk Pink",Rp1.099.000,899.000,2 Terjual,ibox_official
129,Alto Genuine Leather Anello iPhone X/Xs - Navy,Rp999.000,399.000,,ibox_official
130,Spigen iPhone X/XS Slim Armor - Rose Gold,Rp1.099.000,449.000,3 Terjual,ibox_official
131,"Apple iPhone Leather Wallet with MagSafe, Orange",0,1.199.000,1 Terjual,ibox_official
132,"Apple iPhone 14 Plus Leather Case with MagSafe, Midnight",0,1.199.000,2 Terjual,ibox_official
133,UAG Apple iPhone 11 Pro Pathfinder- Midnight Camo,0,749.000,,ibox_official
134,"Apple iPhone 14 Leather Case with MagSafe, Forest Green",0,1.199.000,1 Terjual,ibox_official
135,"Apple iPhone 13 mini Silicone Case with MagSafe, Marigold",0,899.000,2 Terjual,ibox_official
136,"Apple iPhone 14 Plus Silicone Case with MagSafe, Storm Blue",0,899.000,,ibox_official
137,"Apple iPhone 13 Silicone Case with MagSafe, Marigold",0,899.000,,ibox_official
138,Spigen iPhone X/XS Classic C1 - Bondi Blue,0,699.000,,ibox_official
139,UNIQ Xtremsis iPhone X - Cobalt Grey Navy,0,499.000,,ibox_official
